,Year,Party,Topics
10,1996,Republican,"Preamble, Principles of the 1996 Republican Platform, Principles, Building a Better America , Improving the Standard of Living, Tax Relief for Economic Growth, Balancing the Budget and Reducing Spending, Creating Jobs for Americans, Homeownership, Promoting Trade and International Prosperity, Changing Washington From the Ground Up, A Citizens' Congress, Cleaning Up Government, Streamlining Government, Honest Budgets and Real Numbers, Regulatory Reform, Restoring Justice to the Courts, The Nation's Capital, Americans in the Territories, Individual Rights and Personal Safety , Upholding the Rights of All, A Sensible Immigration Policy, From Many, One, Getting Tough on Crime, Solving the Drug Crisis, The Bottom Line: From The Top Down, Families and Society, Stronger Families, Improving Education, Improving America's Health Care, Renewing Hope and Opportunity, Older Americans, A Cleaner, Safer, Healthier America, Securing Property Rights, Improving Public Lands, Power for Progress, Agriculture in the 21st Century, Restoring American World Leadership, The Atlantic Alliance and Europe, Defending America Against Missile Attack, Rebuilding America's Strength, Protecting American Interests, International Terrorism, Africa, Asia, The Middle East, Western Hemisphere, Security and Foreign Assistance, Protecting America's Technological Edge, The Men and Women of Defense, Intelligence, Space, The Goal is Freedom, Conclusion, Introduction, China and Taiwan:, Philippines: "
11,1996,Democratic,"Today's Democratic Party: Meeting America's Challenges, Protecting America's Values, Introduction, Opportunity, Responsibility, Security, Freedom, and Peace, Community, Economic growth. , Education., Economic security for American families in the 21st century., Fighting crime. , Immigration., Welfare reform., We call on all Americans to make the most of this opportunity -- never to use welfare reform as an excuse to demonize or demean people, but rather as a chance to bring all our people fully into the economic mainstream, to have a chance to share in the prosperity and the promise of American life., Choice., Reinventing government., Political reform., Strengthening our security, Promoting peace and democracy., Putting families first. , Community empowerment and cities. , Agriculture and the rural community. , Protecting our environment., The American community. "
12,1992,Democratic,"A New Covenant with the American People, Preamble, I. Opportunity, Investing In America, Support for Innovation, The Deficit, Defense Conversion, The Cities, Agriculture and the Rural Community, Workers' Rights, Lifelong Learning, A Domestic GI Bill, Affordable Health Care, Fairness, Energy Efficiency and Sustainable Development, Civil and Equal Rights, Commonwealths and Territories, II. Responsibility, Strengthening The Family, Welfare Reform, Choice, Making Schools Work, Responsibility for the Environment, Responsible Government, Responsible Officials, III. Restoring Community, Combatting Crime and Drugs, Empowering The Poor and Expanding The Middle Class, The Arts, IV. Preserving Our National Security, Restructuring Our Military Forces, Restoring America's Economic Leadership, Promoting Democracy, Middle East Peace, Human Rights, Human Needs, Cyprus, Northern Ireland, Preserving The Global Environment, Developing Nations, Population Growth"
13,1992,Republican,"The Vision Shared: The Republican Platform, Uniting Our Family, Our Country, Our World, Preamble, Uniting Our Family, Family: The Home of Freedom, Individual Rights, Good Homes and Safe Streets, Uniting Our Country, Security and Opportunity in a Changing Economy, Reforming Government and the Legal System, Our Land, Food, and Resources, Uniting Our World, The Triumph of Freedom, America's Security, The Rights of the Family. , The Right to a Family. , Caring for Children. ,  , Family Security. , Achieving Educational Excellence. , Improving America by Improving our Schools. , Creating the Best Schools in the World. , Ensuring High Standards in Knowledge and Skills. , Our Educational Beliefs. , For Healthier Families:Promote Health, Prevent Disease, Reform Health Care. , AIDS. , Healthy Families. , The Homeless. , Older Americans. , Promoting Cultural Values. , Rebuilding the Dream. , Ending Dependency. , Safe Homes and Streets. , New Members of the American Family. , Individual Rights. , Keeping what you earn. , The Future is the Family. , Liberation Through Deregulation. , Home ownership. , Controlling Government Spending. , Job Creation and Small Business Opportunities. , Leading the Information Age. , Jobs Through Science and Technology. , Space. , Banking and Job Creation. , Trade: A New World of Growth., International Economic Policy. , Cleaning Up the Imperial Congress. , Reforming the Congressional Budget Process. , Cleaning Up Politics: The Gerrymander. , Cleaning Up Politics: Campaign Reform. , Managing Government in the Public Interest. , Reforming the Legal System. , The Nation's Capital. , A New Era for the Territories. , Agriculture. , Power for Progress. , Public Lands. , Transportation. , Environment. , Private Property Rights. , Meeting the Challenge. , Leadership through Partnership. , Securing the Victory of Democracy. , Opening the World to American Business. , Banishing the Nuclear Nightmare. , America Challenged. , America Secure. , Managing the Peace. , The Men and Women of Defense. , Intelligence. , Proven Leadership. "
14,1988,Republican,"An American Vision: For Our Children and Our Future, Preamble, Jobs, Growth, and Opportunity for All, Family Income, Jobs, Opportunity for All, Entrepreneurship, Reducing the Burden of Taxes, Income Taxes Slashed for Typical Families, Beating Inflation, Regulatory Reform, Competition in Public Services, Housing, Controlling Federal Spending, Opening Markets Abroad, International Economic Policy, Strong Families and Strong Communities, Caring for Children, Adoption, Pornography, Health, AIDS, Healthy Children, Healthy Families, Older Americans, The Homeless, Constitutional Government and Individual Rights, Equal Rights, Private Property, Women's Rights, Americans with Disabilities, Native Americans, The Right of Gun Ownership, The Rights of Workers, The Right to Political Participation, Immigration, Restoring the Constitution, Government Ethics and Congressional Reform, Education for the Future, Arts and Humanities, Science and Technology, Space, Strong Communities and Neighborhoods, Crime, Drug-Free America, Opportunity and Assistance, Urban Revitalization, Rural Community Development and the Family Farm, Introduction, The Record, Our Global Economy, The Future, Rural Economic Development, Agricultural Interest Rates, Energy, Environment, and Transportation, Energy for the Future, Cumulative Strategic Petroleum Reserve Oil Fill, Oil, Natural Gas, Coal, Nuclear Power, Technology, Alternatives, Conservation, and Regulation, Preserving and Protecting the Environment, Transportation for America, America Leading The World, The Americas, The Soviet Union: New Challenges and Enduring Realities, Combatting Narcotics: Defending Our Children, Europe and the Defense of the West, Asia and the Pacific, The Middle East, Africa, Child Survival Program, Stopping International Terrorism and Dealing with Low Intensity Conflict, State Department Organization, Peace Through Strength—A Proven Policy, America Defended, A Strategy for Deterrence, An Arms Reduction Strategy, The Space Challenge, America: A Strong Leader and Reliable Partner, Keeping the Sea Lanes Free, Our Nation's Technology Base, Defense Acquisition, Armed Forces Personnel for the Nineties, Veterans, Intelligence: An Indispensable Resource at a Critical Time, National Security Strategy for the Future"
15,1988,Democratic,"WE BELIEVE, WE BELIEVE, WE BELIEVE , WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE , WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, WE BELIEVE, IN SUM, WE BELIEVE, WE BELIEVE, THEREFORE, THE DEMOCRATIC PARTY"
16,1984,Democratic,"Preamble, Chapter I: Economic Growth, Prosperity, and Jobs, Introduction, The Future if Reagan Is Reelected, The New Economic Reality; Five Reagan Myths, Reagan's Recession and A Recovery Built on Debt, Seven Threats to the Recovery, The Democratic Alternative: A Prosperous America In A Changing World, Overall Economic Policies: A Firm Ground For Growth, Reducing the Reagan Budget Deficits, Monetary Policy for Growth , An Anti-Inflation Program , Investing in People, Investing in Children, Investing in Education , Investing In the Arts , Jobs, Training, and Transitional Assistance, Investing In Infrastructure , Investing in our Cities, Physical Infrastructure , Finance Infrastructure, Telecommunications, Housing, Transportation, Postal Service, A Framework for Growth, Private Sector Responsibilities , Partnership, Cooperation and Participation, Broadening Labor-Management Cooperation, Consumer Protection, Individual Empowerment, America in a World Economy, Innovation, Small and Minority Business, Meeting the Challenge of Economic Competition, Agriculture , Energy Conservation , Lifeline Utility Rates , Recycling , Protecting Our Environment, Hazardous Wastes , Clean Air and Water, Workplace Safety, Pesticides and Herbicides, EPA Budget, International Leadership, Federal Compliance, Managing our Public Lands,  Chapter II:Justice, Dignity and Opportunity, Introduction, The Future If Reagan is Reelected, The Democratic Alternative:Equal Justice for All, Equal Justice Under Law , Integrity In Government, Crime,  Chapter III:Peace, Security, and Freedom, Introduction, The Future If Reagan Is Reelected, The Democratic Alternative:A Safer Future for Our Nation and the World , Arms Control and Disarmament, Defense Policy , Foreign Policy, Global Debt and Development, Human Rights and Solidarity,  ,  ,  , —,  , . ,  "
17,1984,Republican,"America's Future Free and Secure, Preamble, Economic Freedom and Prosperity, Free Enterprise, Democracy, and the Role of Government, Fiscal and Monetary Policy, Regulatory Reform, Support For Small Business, Science and Technology, Energy, Agriculture, International Economic Policy, Security for the Individual, Housing and Homeownership, Welfare, Health, Environment, Transportation, Education and Youth, Crime, Older Americans, Advancing Opportunity, A Free and Just Society, Individual Rights, Family Protection, Immigration, Our Constitutional System, America Secure and the World at Peace, The Future of Our Foreign Policy, The Future of Our National Security, Taxation, Spending and Budget, Monetary Policy, Securing a Prosperous Rural America, Interest Rates and Farm and Ranch Indebtedness, Setting the Stage for Farm and Ranch Recovery, Toward Fair and Expanded Markets and Responding to Hunger, Reducing Excessive Regulation in Agriculture, Soil and Water Conservation, Water Policy, The Future of Farming,  , The Americas, The Soviet Union, Europe, The Middle East, Asia and the Pacific, Africa, Foreign Assistance and Regional Security, International Organizations, Human Rights, Advocacy for Democracy, Arms Control for the Future, Defense Resources, Readiness, Conventional and Strategic Modernization, Reserve and Guard Forces, Management Reform, The Tasks Ahead, Veterans, National Intelligence, Strategic Trade, Terrorism, A Secure Future"
18,1980,Democratic,"Preamble, Chapter I: The Economy, A Commitment to Economic Fairness, Economic Strength, Solving Economic Problems, Ensuring Economic Equity, Budget, Worker Protection, Small Business, Minority Business, Women in Business, Women and The Economy, Economic Inequities Facing Minorities, Consumer Protection, Antitrust Enforcement, Chapter II: Government and Human Needs, Health, Substance Abuse, Older Americans, Social Security, Pensions, Welfare Reform, Low Income Energy Assistance, Veterans, Education, Child Care, Juvenile Justice, Families, Housing, Transportation, Urban Policy, Neighborhoods, Small Community and Rural Development, Science and Technology, The Arts and the Humanities, Ensuring Basic Rights and Liberties, Equal Rights Amendment, Civil Rights, Civil Liberties, Privacy, Appointments, Handicapped, Dr. Martin Luther King Jr., Domestic Violence, Insular Areas, Puerto Rico, American Indians, Ethnic America, Americans Living Abroad, Chapter III: Government Operation and Reform, Making Government Effective and Efficient, Regulatory Reform, Tax Reform, Management, Government Openness and Integrity, Law Enforcement, Paperwork Reduction, Election Reform, Postal Service, Chapter IV: Energy, Natural Resources, Environment and Agriculture, Energy, Environment, Water, Agriculture, Forestry, Fisheries, Chapter V: Foreign Policy, Introduction, Defense, U.S.-Soviet, Arms Control, Human Rights, Refugees and Migration, The Middle East, Europe and Japan, The International Economy, Trade, Monetary Affairs, International Energy Cooperation, The Developing World, The Third World, Latin America and the Caribbean, Asia, Africa, The United Nations and International Agencies, Into the 1980s"
19,1980,Republican,"Republican Platform: A Preamble, Free Individuals in a Free Society, Taxes, Improving the welfare system, Veterans, Private property, Transportation—Personal mobility, Privacy, Black Americans, The handicapped, Women's rights, Equal rights, Abortion, Strong Families, Education, Health, Youth, Older Americans, The Welfare System, The Family Economy, Family protection, Handicapped people, Secure and Prosperous Neighborhoods, Neighborhood self-help, Neighborhood revitalization, Housing and homeownership, Crime, Urban transportation, Rural transportation, Jobs and the Workplace, The need for growth and its impact on workers, Savings, productivity, and jobs, Employment safety-net, Training and skills, Small business, Fairness to the worker, Fairness to the consumer, Fairness to the employer, Government reform, Agriculture, The Nation, Big government, Government reorganization, Government reform, Election reform, Arts and Humanities, Transportation, Energy, Environment, Immigration and refugee policy, The judiciary, Taxes and government spending, Government lending, Inflation, Peace and Freedom, Prologue, National Security, Defense budget trends, Defense strategy, Nuclear forces, Conventional forces, Defense manpower and the draft, Reserve forces, Readiness and industrial preparedness, Research and development, Management and organization, National intelligence, Terrorism, The role of arms control in defense policy, Foreign Policy, U.S.—Soviet relations, NATO and Western Europe, Middle East, Persian Gulf, The Americas, Asia and the Pacific, Africa, Foreign assistance and regional security, International Economic Policy, International trade and economic policy, The security of energy and raw materials access, Hispanic Americans"
20,1976,Republican,"Preamble, Jobs and Inflation, Taxes and Government Spending, Agriculture and Rural Development, Small Business, Antitrust, Bureaucratic Over-regulation, Government that Works, A Safe and Just Society, The Right to Privacy, The American Family, Education, Health, Child Nutrition, Equal Rights and Ending Discrimination, Women, Ethnic Americans, Hispanic-Americans, Indians and Alaska Natives, Puerto Rico, The District of Columbia and The Territories, Responsibilities, Handicapped Citizens, Working Americans, Welfare Reform, Older Americans, Veterans, A National Urban Strategy, Housing, Transportation, Energy, Environment and Natural Resources, Science and Technology, Arts and Humanities, Fiscal Responsibility, Foreign Policy, National Defense and International Economic Policy, Prologue, Morality in foreign policy, National defense, NATO and Europe, Asia and the Pacific, United States-Chinese relations, The Americas, The Middle East, Africa, United States-Soviet relations, International cooperation, International economic policy, Conclusion"
21,1976,Democratic,"Preamble, I. Full Employment, Price Stability and Balanced Growth, Republican Mismanagement, What Democrats Can Achieve, Modernizing Economic Policy, Full Employment Policies, Equal Employment Opportunity, Anti-Inflation Policies, Economic Justice, Labor Standards and Rights, II. Government Reform and Business Accountability, The Right to Competent Government, The Right to Responsive Government, The Right to Integrity in Government, The Right to Fair Dealing by Government, Business Accountability, III. Government and Human Needs, Health Care, Welfare Reform, Civil and Political Rights, Education, Social Services, Disabled Citizens, Older Citizens, Veterans, The Arts and Humanities, IV. States, Counties and Cities, Housing and Community Development, The Special Needs of Older Cities, Law Enforcement and Law Observance, Transportation, Rural Development, Administration of Federal Aid, V. Natural Resources and Environmental Quality, Energy, Agriculture, Environmental Quality, VI. International Relations, The Challenge of Interdependence, Defense Policy, America in the World Community"
22,1972,Republican,"Preamble, Toward a Full Generation of Peace, Foreign Policy, New Era of Diplomacy, The Nixon Doctrine, Peace in the 1970's, The Middle East, The Atlantic Community, Japan, The Soviet Union, China, Latin America, Africa, Defense, A Modern, Well-Equipped Force, A New Partnership, An All-Volunteer Armed Force, Improvements in Service Life, Better Defense Management, Arms Limitation, For the Future, A New Prosperity, Jobs, Inflation and the Economy, Strategies and Achievements, The Road Ahead, Taxes and Government Spending, International Economic Policy, Small Business, Improving the Quality of Life, Health Care, Education, Welfare Reform, Law Enforcement, The Fight against Organized Crime, Rehabilitation of Offenders, Drug Abuse, Agriculture and Rural Life, Community Development, Housing, Transportation, Environment, Natural Resources and Energy, Oceans, Science and Technology, The Individual and Government, Volunteerism, Arts and Humanities, A Better Future for All, Children, Youth, Equal Rights for Women, Older Americans, Working Men and Women, Ending Discrimination, Spanish-Speaking Americans, Indians, Alaska Natives, and Hawaiians, Consumers, Veterans, Conclusion"
23,1972,Libertarian,"THE PARTY OF PRINCIPLE, Crime, Due Process for Criminally Accused, Freedom of Speech and The Press, Protection of Privacy, The Right to Keep and Bear Arms, Volunteer Army, Property Rights, Unions and Collective Bargaining, Money, The Economy, Subsidies, Tariffs and Quotas, Interim Reforms, Long-Range Goals, Pollution, Consumer Protection, Overpopulation, Education, Poverty and Unemployment, Foreign Aid, Ownership in Unclaimed Property, Currency Exchange Rates, Military Alliances, Military Capability, Diplomatic Recognition, Secession, The United Nations, STATEMENT OF PRINCIPLES, INDIVIDUAL RIGHTS AND CIVIL ORDER, TRADE AND THE ECONOMY, DOMESTIC ILLS, FOREIGN POLICY, ECONOMIC  , MILITARY , DIPLOMATIC "
24,1972,Democratic,"New Directions: 1972-76, II. Jobs, Prices and Taxes, Jobs, Income and Dignity, Economic Management, Toward Economic Justice, Tax Reform, Labor-Management Relations, Labor Standards, Occupational Health and Safety, Farm Labor, III. Rights, Power and Social Justice, Free Expression and Privacy, The Right to Be Different, Rights of Children, Rights of Women, Rights of Youth, Rights of Poor People, Rights of American Indians, Rights of the Physically Disabled, Rights of the Mentally Retarded, Rights of the Elderly, Rights of Veterans, Rights of Servicemen and Servicewomen, Rights of Consumers, The Quality and Quantity of Social Service, Health Care, Family Planning, Puerto Rico, Virgin Islands, Guam, American Samoa and the Trust Territories of the Pacific, IV. Cities, Communities, Counties and the Environment, Introduction, Partnership among Governments, Urban Growth Policy, The Cities, Housing and Community Development, New Towns, Transportation, Environment, Technology and Resources, Choosing the Right Methods of Environmental Protection, Jobs and the Environment, Science and Technology, Energy Resources, The Oceans, Public Lands, V. Education, School Finance, Early Childhood Education, Equal Access to Quality Education, Bilingual Education, Career Education, Higher Education, Arts and Humanities, VI. Crime, Law and Justice, Preventing Crime, Narcotic Drugs, Organized and Professional Crime, Rehabilitation of Offenders, The Quality of Justice, VII. Farming and Rural Life, Exporting Our Abundance, Strengthening the Family Farm, Guaranteeing Farm People a Voice, Revitalizing Rural America, VIII. Foreign Policy, Vietnam, Military Policy, Draft, Disarmament and Arms Control, U.S. and the World Community, International Economic Policy, Developing Nations, The Methods and Structures of U.S. Foreign and Military Policy, IX. The People and the Government, Seniority, Secrecy, Administrative Agencies, Conflict of Interest, Campaign Finance, Regulation of Lobbyists, Taking Part in the Political Process"
25,1968,American,
26,1968,Democratic,"The Terms of Our Duty, This We Have Done, The Economy, The People, The Nation, The World, This We Will Do: Toward a Peaceful World, National Defense, North Atlantic Community, Arms Control, The Middle East, Vietnam and Asia, The Developing World, United Nations, Foreign Trade and Financial Policy, Economic Growth and Stability, Fiscal and Monetary Policy, Price Stability with Growth, Agriculture, Small Business, Labor-Management Relations, Consumer Protection, Housing, Transportation, Communications, Science and Technology, Opportunity for All, Toward a Single Society, The Inner City, Rural Development, Jobs and Training, Employment Standards, Older Citizens, People in Need, Health, Veterans, Education, Youth, Environment, Conservation and Natural Resources, Public Domain, Recreation, Resources of the Oceans, The Government, Public Employees, Elections, The District of Columbia, Puerto Rico, Virgin Islands and Guam, Justice and Law"
27,1968,Republican,"Preamble, Purposes and Pledges, Domestic Policy, Crisis of the Cities, Crime, Youth, Education, Human Development, Jobs, The Poor, Health, The Elderly, Veterans, Indian Affairs, The Individual and Government, A Healthy Economy, Labor, Transportation, Resources and Science, Agriculture, Natural Resources, Science, Foreign Policy, Vietnam, National Defense, Conclusion"
28,1964,Republican,"""For the People"" Section One, For a Free People, To Stay Free, Deeds Not Words, Section Two, Failures of Foreign Policy, Disregard of Allies, Weakness Before Communism, Undermining the United Nations, Forsaking America's Interests, Failure of National Security Planning, Losing a Critical Lead, Invitations to Disaster, Distortions and Blackouts, Undermining Morale, Failures at Home, Inability to Create Jobs, Failing the Poor, Retarding Enterprises, Betrayal of the Farmer, Neglect of Natural Resources, Fiscal Irresponsibility, Discord and Discontent, Weakening Responsibility, Section Three, The Republican Alternative, Faith in the Individual, Faith in the Competitive System, Faith in Limited Government, Section Four, Freedom Abroad, Reducing the Risks of War, Trusting Ourselves and Our Friends, Communism's Course, Communism's Captives, The United Nations, NATO: The Great Shield, Freedom's Further Demands, The Geography of Freedom, The Development of Freedom, Freedom's Shield—and Sword"
29,1964,Democratic,"One Nation, One People, Peace, National Defense, Building the Peace, The Conquest of Space, The Leadership We Offer, Freedom and Well Being, The Individual, Democracy of Opportunity, The Economy, Rural America, The Nation's Natural Resources, The City, The Government, One Nation, One People, An Accounting of Stewardship, 1961—1964, The Record, National Defense, Arms Control, Instruments of Foreign Policy, World Trade, Immigration, The Underdeveloped World, The Atlantic Community, The Communist World, The United Nations, Economic Growth, An End to Tight Money, Control of Inflation, Full Employment, Aid to Depressed Areas, Discrimination in Employment, Collective Bargaining, Planning for Automation, Minimum Wages, Agriculture, Small Business, Health, A Program for the Aging, Welfare, Education, Natural Resources, In the field of water conservation, In electric power, In outdoor recreation, In the conservation and development of mineral resources, For wildlife, Cities and Their Suburbs, Transportation, Science, Space, Atomic Energy, Oceanography, Government Operations, Congressional Procedures, Consumers, Veterans Affairs, American Indians, The Arts, Civil Liberties, Fiscal Responsibility, Civil Rights,  ,  , In the field of water conservation, In electric power, In outdoor recreation, In the conservation and development of mineral resources, For wildlife, Space, Atomic Energy, Oceanography,  "
30,1960,Republican,"Preamble, Foreign Policy, National Defense, Economic Growth and Business, Labor, Agriculture, Natural Resources, Government Finance, Government Administration, Education, Science and Technology, Human Needs, Older Citizens, Health Aid, Juvenile Delinquency, Veterans, Indian Affairs, Housing, Health, Protection of Consumers, Civil Rights, 1. Voting. , 2. Public Schools. , 3. Employment. , 4. Housing. , 5. Public Facilities and Services. , 6. Legislative Procedure. , Immigration, Conclusion"
31,1960,Democratic,"National Defense, Civil Defense, Arms Control, The Instruments of Foreign Policy, The ""Image"" of America, National Policy Machinery, World Trade, Immigration, The Underdeveloped World, The Atlantic Community, The Communist World, The United Nations, Economic Growth, An End to Tight Money, Control of Inflation, Full Employment, Aid to Depressed Areas, Discrimination in Employment, Collective Bargaining, Planning for Automation, Minimum Wages, Agriculture, Using Our Abundance, Achieving Income Parity, Improving Working and Living on Farms, Small Business, Housing, Health, Medical Care for Older Persons, Research, Hospitals, Health Manpower, Mental Health, A Program for the Aging, Health, Income, Housing, Special Services, Welfare, Disability Insurance, Physically Handicapped, Public Assistance, Unemployment Benefits, Equality for Women, Child Welfare, Intergroup Relations, Education, Natural Resources, Water and Soil, Water and Air Pollution, Outdoor Recreation, Energy, Federal Lands and Forests, Minerals, Government Machinery for Managing Resources, Cities and Their Suburbs, Transportation, Air, Water, Roads, Rail, Science, Space, Atomic Energy, Oceanography, Government Operations, The Federal Service, Ethics in Government, Regulatory Agencies, The Postal Service, Law Enforcement, Freedom of Information, Clean Elections, District of Columbia, Virgin Islands, Puerto Rico, Congressional Procedures, Consumers, Veterans Affairs, American Indians, The Arts, Civil Liberties, Fiscal Responsibility, Civil Rights,  "
32,1956,Republican,"Declaration of Faith, Declaration of Determination, Dynamic Economy—Free Labor, Taxation and Fiscal Policy, Business and Economic Policy, Small Business, Labor, Human Welfare and Advancement, Health, Education and Welfare, Rural America's Recovery—Agriculture, Federal Government Integrity, Efficiency and Economy in Government., Governmental Affairs, Postal Service., Civil Service., Statehood for Alaska and Hawaii., Puerto Rico., Indian Affairs., District of Columbia., Equal Rights., Equal Opportunity and Justice, Civil Rights, Immigration, Human Freedom and Peace, Today., The Far East., The Middle East and Southeast Asia., Europe., The Americas., Relations with Soviet Russia., The future., Bulwark for the Free World—Our National Defense, Veterans, Guarding and Improving Our Resources, Recreation, parks and wildlife., Public land and forest resources., Minerals., Water resources., Fisheries., For a Brighter Tomorrow: Atomic Energy., Declaration of Dedication"
33,1956,Democratic,"Preamble, I. Foreign Policy and National Defense, The Republican Record of Confusion and Complacency Is the President's Responsibility., Our Government Lacks Leadership., The Republican Bluster and Bluff., Our Friends Lose Faith In Us., The Failure Abroad., The Failure at Home., The Challenge Is For Democracy to Meet., Support for the United Nations., Release of American Prisoners., Support for Effective Disarmament., Adequate Defense Forces., Training for Defense. , Strengthening Civil Defense., Collective Security Arrangements., Winning the Productivity Race., Economic Development Abroad., Bringing the Truth to the World., Freedom for Captive Nations., Upholding the Principle of Self-Determination., Reciprocal Trade Among the Nations., Encouraging European Unity., Peace and Justice in the Middle East., Support for Free Asia., Support of Our Good Neighbors to the South., Progressive Immigration Policies., Victims of Communist Oppression., The Challenge of the Next Four Years., II. the Domestic Policy—the Republican Reaction to 20 Years of Progress, The Democratic Bequest., The Republican Brand of Prosperity., The Stunting of Our Economic Progress., The Failure of the Republican Budget-Balancers., Democratic Principles for Full Prosperity for All:, Democratic Goals To Be Achieved During Four Years of Progress., III. Free Enterprise, Small and Independent Business., Law Enforcement., Merchant Marine., Transportation., Highways., Rivers and Harbors., IV. A Magna Charta for Labor, Labor-Management Relations., Fair Labor Standards., Walsh-Healey Contracts Act., Equal Pay for Equal Work., The Physically Handicapped., Migratory Workers., Jobs for Depressed Areas., V. Agriculture, VI. General Welfare, Social Security., Unemployment Insurance., Wage Losses Due to Illness., Public Assistance., Additional Needs of Our Senior Citizens., Health and Medical Care., Medical research., Housing., Education., Vocational Education., Child Welfare., Aid to the Physically Handicapped., VII. Financial Policy, Tax Adjustment., Debt Management., Protection of Investors., VIII. Government Operations, Civil Service and Federal Employee Relations., Restoring the Efficiency of the Postal Service., Conflict of Interests., Freedom of Information., Clean Elections., Equal Rights Amendment., Veterans Administration., Statehood for Alaska and Hawaii., Puerto Rico., Virgin Islands., Other Territories and Possessions., District of Columbia., American Indians., Governmental Balance., Improving Congressional Procedures., IX. Natural Resources, Land., Soil Conservation., National Parks, Recreation and Wildlife., Forest and Grazing Lands., Water., Energy., Minerals., Domestic Fisheries., Scenic Resources., X. Atomic Energy, XI. Civil Rights"
34,1952,Democratic,"Preamble, Twenty Years of Progress, Achieving Prosperity, Strengthening Democracy, Building Peace with Honor, Progress in the New Era, Our Goal is Peace With Honor, The Democratic Program for Peace and National Security, Supporting the United Nations, Strong National Defense, Collective Strength for the Free World, Encouraging European Unity, Support for Free Germany, Support for the Victims of Soviet Imperialism, Support for the Nations of the Middle East, South Asia: A Testing Ground for Democracy, Collective Security in the Pacific, Strengthening the Americas, Disarmament Remains the Goal, Helping Other People to Help Themselves, Upholding the Principle of Self-Determination, Expanding World Trade, Progressive Immigration Policies, Our Domestic Policy, Economic Opportunity and Growth, A Stabilized Economy, Combatting Inflation, Prices, Rents, Full Employment, Integrity in Government Finances, Federal Taxes, Tax Reductions, Closing Tax Loopholes, Government Expenditures, The American Farmer and Agriculture, Resource Conservation, Grass Roots Administration, Price Supports, Abundant Production, Research, Marketing, Farm Credit, Crop Insurance, Rural Electrification, Cooperatives, Defense Needs, Family Farming, A Fair Deal for Workers, Good Incomes, Labor-Management Relations, Taft-Hartley Act, Fair Labor Standards, Equal Pay for Equal Work, The Physically-Handicapped, Migratory Workers, Strengthening Free Enterprise, Small and Independent Business, Enforcement of Anti-Trust Laws, Protection of Investors and Consumers, Transportation, Highways, Rivers and Harbors, Merchant Marine, Our Natural Resources, Land and Water Resources, River Basin Development, Fertilizer Development, Forests and Public Lands, Arid Areas, Minerals and Fuels, Domestic Fisheries, Wildlife Recreations, Atomic Energy, Social Security, Old Age and Survivors Insurance, Unemployment Insurance, Public Assistance, Private Plans, Needs of Our Aging Citizens, Health, Research, Medical Education, Hospitals and Health Centers, Cost of Medical Care, Housing, Additional Legislation, Veterans' Housing, Education, Child Welfare, Maternity, Child Health and Welfare Services, School Lunches, Day Care Facilities, Children of Migratory Workers, Veterans, Strengthening Democratic Government, Streamlining the Federal Government, Improving the Postal Service, Strengthening the Civil Service, Democracy in Federal Elections, Strengthening Basic Freedoms, Equal Rights Amendment, Puerto Rico, Alaska and Hawaii, Other Territories and Possessions, District of Columbia, American Indians, Constitutional Government, Improving Congressional Procedures, Civil Rights, Conclusion"
35,1952,Republican,"Preamble, Foreign Policy, National Defense, Communism, Small Business in a Free Economy, Taxation and Monetary Policy, Agriculture, Labor, To the Working Man:, To the Labor Unions:, Natural Resources, Public Works and Water Policy, Public Lands, Veterans, Social Security, Health, Education, Civil Rights, Censorship, Equal Rights, Statehood, District of Columbia, Indian Affairs, Civil Service, Delivery of Mail, Government Reorganization, Corruption, Republican 80th Congress, Conclusion"
36,1948,Republican,"I Declaration of Principles, II, III, IV, V, VI, VII"
37,1948,Democratic,"Our Foreign Policy, Our Domestic Policies"
38,1944,Democratic,
39,1944,Republican,"Introduction, The War and the Peace, Western Hemisphere Relations, Postwar Preparedness, Domestic Policy, Security, Labor, Agriculture, Business and Industry, Taxation and Finance, Foreign Trade, Relief and Rehabilitation, Bureaucracy, Two-Term Limit for President, Equal Rights, Veterans, Racial and Religious Intolerance, Anti-Poll Tax, Anti-Lynching, Indians, Problems of the West, Hawaii, Alaska, Puerto Rico, Palestine, Free Press and Radio, Good Faith, Conclusion"
40,1940,Republican,"Introduction, National Defense, Re-Employment, Relief, Social Security, Labor Relations, Agriculture, Tariff and Reciprocal Trade, Money, Jobs and Idle Money, Taxation, Public Credit, Public Spending, Equal Rights, Negro, Un-American Activities, Immigration, Veterans, Indians, Hawaii, Puerto Rico, Government and Business, Monopoly, Government Competition, Free Speech, Small Business, Stock and Commodity Exchanges, Insurance, Government Reorganization, Third Term, A Pledge of Good Faith"
